prod_name,collection,supplier,brand,color,pattern,category,cat_name,link,image
WP2403,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,WHITE,GREY,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2403.jpg
ER8238,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,BEIGE,NA,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/ER8238.jpg
WP2447,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,BLACK,BEIGE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2447.jpg
WA7813,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,BEIGE,NA,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WA7813.jpg
WA7789,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,GREY,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WA7789.jpg
ER8226,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,BEIGE,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/ER8226.jpg
WP2408,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,BEIGE,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2408.jpg
WP2472,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,BROWN,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2472.jpg
ER8229,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,GREY,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/ER8229.jpg
WP2416,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,WHITE,BROWN,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2416.jpg
WP2460,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,WHITE,BEIGE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2460.jpg
WA7816,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,BEIGE,NA,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WA7816.jpg
WA7823,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,BLUE,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WA7823.jpg
WA7825,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,BEIGE,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WA7825.jpg
WA7822,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,GREY,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WA7822.jpg
WP2443,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,BEIGE,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2443.jpg
WP2469,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,SILVER,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2469.jpg
WP2466,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,WHITE,PURPLE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2466.jpg
WA7812,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,BROWN,PURPLE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WA7812.jpg
WP2496,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,GREY,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2496.jpg
WP2482,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,GREY,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2482.jpg
WP2400,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,WHITE,BLUE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2400.jpg
WP2499,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,PURPLE,GREY,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2499.jpg
WP2420,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,WHITE,PINK,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2420.jpg
WP2404,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,SILVER,GREEN,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2404.jpg
WA7815,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,BEIGE,NA,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WA7815.jpg
WA7786,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,BEIGE,NA,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WA7786.jpg
WP2413,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,PURPLE,SILVER,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2413.jpg
ER8187,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,WHITE,GREEN,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/ER8187.jpg
