prod_name,Collection,supplier,brand,color,pattern,category,cat_name,link,image,style,style
GE3602,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,NA,ashford geometrics,ashford,#,/images/ashford/GE3602.jpg,ABC,XYZ
GE3603,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,NA,ashford geometrics,ashford,#,/images/ashford/GE3603.jpg,ABC,XYZ
GE3624,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3624.jpg,ABC,XYZ
GE3630,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,ORANGE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3630.jpg,ABC,XYZ
GE3625,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3625.jpg,ABC,XYZ
GE3629,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREEN,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3629.jpg,ABC,XYZ
GE3627,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BEIGE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3627.jpg,ABC,XYZ
GE3626,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GREY,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3626.jpg,ABC,XYZ
GE3628,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE,SILVER,ashford geometrics,ashford,#,/images/ashford/GE3628.jpg,ABC,XYZ
GE3715,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,BLUE ,BLUE,ashford geometrics,ashford,#,/images/ashford/GE3715.jpg,ABC,XYZ
GE3714,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3714.jpg,ABC,XYZ
GE3712,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,GOLD,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3712.jpg,ABC,XYZ
GE3713,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,SILVER,WHITE,ashford geometrics,ashford,#,/images/ashford/GE3713.jpg,ABC,XYZ
GE3716,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,SILVER,BLACK,ashford geometrics,ashford,#,/images/ashford/GE3716.jpg,ABC,XYZ
GE3608,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,GREY,ashford geometrics,ashford,#,/images/ashford/GE3608.jpg,ABC,XYZ
GE3609,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,BEIGE,ashford geometrics,ashford,#,/images/ashford/GE3609.jpg,ABC,XYZ
GE3613,ASHFORD GEOMETRIC,YORK  ,ASHFORD HOUSE,WHITE,RED,ashford geometrics,ashford,#,/images/ashford/GE3613.jpg,ABC,XYZ
