prod_name,Collection,supplier,color,pattern,category,cat_name,link,image
JC5931,OPAL_ESSENCE,YORK,BLUE,BEIGE,opal essence,opal,#,/images/opal/JC5931.jpg
JC5935,OPAL_ESSENCE,YORK,WHITE,PINK,opal essence,opal,#,/images/opal/JC5935.jpg
JC5933,OPAL_ESSENCE,YORK,SILVER,PINK,opal essence,opal,#,/images/opal/JC5933.jpg
JC5934,OPAL_ESSENCE,YORK,BLUE,PINK,opal essence,opal,#,/images/opal/JC5934.jpg
JC5999,OPAL_ESSENCE,YORK,BLUE,GOLD,opal essence,opal,#,/images/opal/JC5999.jpg
JC6009,OPAL_ESSENCE,YORK,BLUE,NA,opal essence,opal,#,/images/opal/JC6009.jpg
JC5991,OPAL_ESSENCE,YORK,BLUE,GOLD,opal essence,opal,#,/images/opal/JC5991.jpg
JC6001,OPAL_ESSENCE,YORK,BEIGE,BROWN,opal essence,opal,#,/images/opal/JC6001.jpg
JC5993,OPAL_ESSENCE,YORK,BEIGE,BROWN,opal essence,opal,#,/images/opal/JC5993.jpg
JC6002,OPAL_ESSENCE,YORK,BROWN,BEIGE,opal essence,opal,#,/images/opal/JC6002.jpg
JC6012,OPAL_ESSENCE,YORK,GOLD,GREY,opal essence,opal,#,/images/opal/JC6012.jpg
JC5994,OPAL_ESSENCE,YORK,BROWN,BEIGE,opal essence,opal,#,/images/opal/JC5994.jpg
JC5998,OPAL_ESSENCE,YORK,SILVER,WHITE,opal essence,opal,#,/images/opal/JC5998.jpg
JC6008,OPAL_ESSENCE,YORK,SILVER,NA,opal essence,opal,#,/images/opal/JC6008.jpg
JC5990,OPAL_ESSENCE,YORK,SILVER,WHITE,opal essence,opal,#,/images/opal/JC5990.jpg
JC6000,OPAL_ESSENCE,YORK,WHITE,GREY,opal essence,opal,#,/images/opal/JC6000.jpg
JC5992,OPAL_ESSENCE,YORK,BEIGE,WHITE,opal essence,opal,#,/images/opal/JC5992.jpg
