prod_name,Collection,supplier,brand,color,pattern,cat_name,link,image,category
DE9000,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GOLDEN,NA,silverleaf,#,/images/Silver_Leaf/DE9000.jpg,Silver Leaf II
SL5697,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GOLDEN,GREY,silverleaf,#,/images/Silver_Leaf/SL5697.jpg,Silver Leaf II
SL5696,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,BLUE,GREY,silverleaf,#,/images/Silver_Leaf/SL5696.jpg,Silver Leaf II
SL5700,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,WHITE,GOLDEN,silverleaf,#,/images/Silver_Leaf/SL5700.jpg,Silver Leaf II
SL5666,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GOLDEN ,GREY,silverleaf,#,/images/Silver_Leaf/SL5666.jpg,Silver Leaf II
SL5667,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GOLDEN,BEIGE,silverleaf,#,/images/Silver_Leaf/SL5667.jpg,Silver Leaf II
SL5664,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GOLDEN,WHITE,silverleaf,#,/images/Silver_Leaf/SL5664.jpg,Silver Leaf II
SL5665,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GOLDEN,WHITE,silverleaf,#,/images/Silver_Leaf/SL5665.jpg,Silver Leaf II
SL5668,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GOLDEN ,BEIGE,silverleaf,#,/images/Silver_Leaf/SL5668.jpg,Silver Leaf II
SL5704,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,PINK,SILVER,silverleaf,#,/images/Silver_Leaf/SL5704.jpg,Silver Leaf II
SL5708,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,WHITE,SILVER,silverleaf,#,/images/Silver_Leaf/SL5708.jpg,Silver Leaf II
SL5705,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GREY,SILVER,silverleaf,#,/images/Silver_Leaf/SL5705.jpg,Silver Leaf II
EK4252,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,BEIGE,GREY,silverleaf,#,/images/Silver_Leaf/EK4252.jpg,Silver Leaf II
SL5706,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,WHITE,GREY,silverleaf,#,/images/Silver_Leaf/SL5706.jpg,Silver Leaf II
SL5707,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,BEIGE,GOLDEN,silverleaf,#,/images/Silver_Leaf/SL5707.jpg,Silver Leaf II
