prod_name,Collection,supplier,brand,color,pattern,category,cat_name,link,image
DD8408,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,PURPLE,GOLDEN,designer damask,damasks,#,/images/damask/DD8408.jpg
DD8420,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,PURPLE,NA,designer damask,damasks,#,/images/damask/DD8420.jpg
DD8423,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BEIGE,NA,designer damask,damasks,#,/images/damask/DD8423.jpg
DD8412,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BEIGE,SILVER,designer damask,damasks,#,/images/damask/DD8412.jpg
DD8426,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,MUSTARD,NA,designer damask,damasks,#,/images/damask/DD8426.jpg
DD8414,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,PURPLE,GOLDEN,designer damask,damasks,#,/images/damask/DD8414.jpg
DD8422,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BLUE,GOLDEN,designer damask,damasks,#,/images/damask/DD8422.jpg
DD8410,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,GREY,GOLDEN,designer damask,damasks,#,/images/damask/DD8410.jpg
DD8413,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,GREY,SILVER,designer damask,damasks,#,/images/damask/DD8413.jpg
DD8425,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BEIGE,SILVER,designer damask,damasks,#,/images/damask/DD8425.jpg
DD8349,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BEIGE,WHITE,designer damask,damasks,#,/images/damask/DD8349.jpg
DD8353,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BLUE,BLUE,designer damask,damasks,#,/images/damask/DD8353.jpg
EK4242,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,WHITE,NA,designer damask,damasks,#,/images/damask/EK4242.jpg
EK4239,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BEIGE,NA,designer damask,damasks,#,/images/damask/EK4239.jpg
EK4240,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,GOLDEN,NA,designer damask,damasks,#,/images/damask/EK4240.jpg
EK4238,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,GREY,NA,designer damask,damasks,#,/images/damask/EK4238.jpg
DD8350,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BEIGE,WHITE,designer damask,damasks,#,/images/damask/DD8350.jpg
DD8354,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,RED,GOLDEN,designer damask,damasks,#,/images/damask/DD8354.jpg
EK4251,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BEIGE,NA,designer damask,damasks,#,/images/damask/EK4251.jpg
DD8351,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,MUSTARD,GREY,designer damask,damasks,#,/images/damask/DD8351.jpg
DD8348,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BEIGE,WHITE,designer damask,damasks,#,/images/damask/DD8348.jpg
DD8327,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,PURPLE,BEIGE,designer damask,damasks,#,/images/damask/DD8327.jpg
DD8325,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,GOLDEN,BEIGE,designer damask,damasks,#,/images/damask/DD8325.jpg
ML8627,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,WHITE,NA,designer damask,damasks,#,/images/damask/ML8627.jpg
DD8481,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BEIGE,NA,designer damask,damasks,#,/images/damask/DD8481.jpg
